Rank	Coffee Store Name	Rating	Review Count	Weighted Rating	Zipcode
10	Animated Cafe	5.0	28	46.12820512820513	98106
11	Overcast Coffee Company	5.0	54	35.47115384615385	98106
12	Chocolat Vitale	5.0	52	36.09803921568627	98106
13	Seeking Kombucha	5.0	35	42.61764705882353	98106
14	Avole Ethiopian Coffee	5.0	19	51.68840579710145	98106
15	Kappa Espresso	5.0	18	52.39705882352942	98106
16	Highland Park Corner Store	5.0	13	56.27777777777777	98106
17	The Rose Gifthouse and Coffee	5.0	24	48.432432432432435	98106
18	Mighty Mugs Coffee - Burien	5.0	12	57.12903225806451	98106
19	Dilettante Mocha Café - Plaza Center	5.0	10	58.91666666666667	98106
20	Evoke Cafe Bar	5.0	16	53.87878787878788	98106
1	FLEUR	5.0	8	60.82758620689655	98107
2	Morning Glory Chai	5.0	11	58.00819672131148	98107
3	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	54.65384615384615	98107
4	Basecamp Cafe	5.0	5	63.95454545454545	98107
5	The Dailies	5.0	6	62.875	98107
6	The Shop by Porter	5.0	14	55.453125	98107
7	Overcast Coffee Company	5.0	54	35.47115384615385	98107
8	Chocolat Vitale	5.0	52	36.09803921568627	98107
9	Seeking Kombucha	5.0	35	42.61764705882353	98107
10	Avole Ethiopian Coffee	5.0	19	51.68840579710145	98107
11	Evoke Cafe Bar	5.0	16	53.87878787878788	98107
12	Mas Cafe	5.0	122	22.831395348837212	98107
13	Two Kick	5.0	20	51.0	98107
14	Kelly Cannoli - Lake City	5.0	142	20.817708333333336	98107
15	Coping Cookies	5.0	6	62.875	98107
16	Coffee Tree & Bop	5.0	29	45.58860759493671	98107
17	Pike Street Coffee	5.0	17	53.126865671641795	98107
18	Konvene Coffee	5.0	132	21.769230769230774	98107
19	Bangkok99 Food Truck	5.0	56	34.867924528301884	98107
20	The Burnt Coffee	5.0	5	63.95454545454545	98107
1	Winnies Cafe & Deli	5.0	20	51.0	98108
2	FLEUR	5.0	8	60.82758620689655	98108
3	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	54.65384615384615	98108
4	The Shop by Porter	5.0	14	55.453125	98108
5	Rock N Robins Espresso	5.0	5	63.95454545454545	98108
6	Animated Cafe	5.0	28	46.12820512820513	98108
7	Highland Park Corner Store	5.0	13	56.27777777777777	98108
8	Mighty Mugs Coffee - Burien	5.0	12	57.12903225806451	98108
9	Tab Milktea	5.0	8	60.82758620689655	98108
10	Nevzat's Espresso	5.0	30	45.0625	98108
11	Creamy Cone Cafe	5.0	42	39.641304347826086	98108
12	Coffee Tree & Bop	5.0	29	45.58860759493671	98108
13	Pike Street Coffee	5.0	17	53.126865671641795	98108
14	Cafe Red	5.0	92	26.915492957746476	98108
15	Resistencia Coffee	5.0	80	29.076923076923077	98108
16	Bright Spot	5.0	14	55.453125	98108
17	Youngstown Coffee	5.0	37	41.7183908045977	98108
18	Realfine Coffee	5.0	67	31.91880341880342	98108
19	Yellow Butterfly Coffee	5.0	4	65.07407407407406	98108
20	Peloton	5.0	116	23.530120481927714	98108
1	FLEUR	5.0	8	60.82758620689655	98109
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	54.65384615384615	98109
3	Basecamp Cafe	5.0	5	63.95454545454545	98109
4	The Dailies	5.0	6	62.875	98109
5	The Shop by Porter	5.0	14	55.453125	98109
6	Overcast Coffee Company	5.0	54	35.47115384615385	98109
7	Seeking Kombucha	5.0	35	42.61764705882353	98109
8	Avole Ethiopian Coffee	5.0	19	51.68840579710145	98109
9	Evoke Cafe Bar	5.0	16	53.87878787878788	98109
10	Mas Cafe	5.0	122	22.831395348837212	98109
11	Two Kick	5.0	20	51.0	98109
12	Coping Cookies	5.0	6	62.875	98109
13	Coffee Tree & Bop	5.0	29	45.58860759493671	98109
14	Pike Street Coffee	5.0	17	53.126865671641795	98109
15	Konvene Coffee	5.0	132	21.769230769230774	98109
16	The Burnt Coffee	5.0	5	63.95454545454545	98109
17	Copper Tree Cafe	5.0	25	47.83333333333333	98109
18	Assembly	5.0	4	65.07407407407406	98109
19	Yellow Butterfly Coffee	5.0	4	65.07407407407406	98109
20	Peloton	5.0	116	23.530120481927714	98109
1	Winnies Cafe & Deli	5.0	20	51.0	98110
2	FLEUR	5.0	8	60.82758620689655	98110
3	Morning Glory Chai	5.0	11	58.00819672131148	98110
4	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	54.65384615384615	98110
5	Cup Of Jo	5.0	8	60.82758620689655	98110
6	Dubai Cafeteria & Expresso	5.0	8	60.82758620689655	98110
7	Basecamp Cafe	5.0	5	63.95454545454545	98110
8	The Dailies	5.0	6	62.875	98110
9	Bay View Espresso	5.0	8	60.82758620689655	98110
10	The Shop by Porter	5.0	14	55.453125	98110
11	Cafe Vino Olio	5.0	5	63.95454545454545	98110
12	Rock N Robins Espresso	5.0	5	63.95454545454545	98110
13	Siam Clay	5.0	9	59.85593220338983	98110
14	Animated Cafe	5.0	28	46.12820512820513	98110
15	The Gingerbread House Drive thru Espresso & Tea	5.0	14	55.453125	98110
16	Overcast Coffee Company	5.0	54	35.47115384615385	98110
17	Chocolat Vitale	5.0	52	36.09803921568627	98110
18	Seeking Kombucha	5.0	35	42.61764705882353	98110
19	Reality Coffee	5.0	22	49.68055555555555	98110
20	Avole Ethiopian Coffee	5.0	19	51.68840579710145	98110
