Rank	Coffee Store Name	Rating	Review Count	Weighted Rating	Zipcode
11	Evoke Cafe Bar	5.0	16	3.8636363636363633	98107
9	Evoke Cafe Bar	5.0	16	3.8636363636363633	98109
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98101
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98102
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98104
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98105
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98106
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98107
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98108
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98109
1	ʔálʔal Cafe - By Chief Seattle Club	5.0	15	3.8461538461538467	98110
19	Cafe Madeline	4.5	26	3.8421052631578947	98101
4	The Shop by Porter	5.0	14	3.828125	98101
4	The Shop by Porter	5.0	14	3.828125	98102
4	The Shop by Porter	5.0	14	3.828125	98103
4	The Shop by Porter	5.0	14	3.828125	98104
14	Bright Spot	5.0	14	3.828125	98104
6	The Shop by Porter	5.0	14	3.828125	98105
6	The Shop by Porter	5.0	14	3.828125	98106
5	The Shop by Porter	5.0	14	3.828125	98107
4	The Shop by Porter	5.0	14	3.828125	98108
16	Bright Spot	5.0	14	3.828125	98108
4	The Shop by Porter	5.0	14	3.828125	98109
10	The Shop by Porter	5.0	14	3.828125	98110
14	The Gingerbread House Drive thru Espresso & Tea	5.0	14	3.828125	98110
16	Highland Park Corner Store	5.0	13	3.8095238095238093	98106
7	Highland Park Corner Store	5.0	13	3.8095238095238093	98108
16	Metropolitan Cafe	4.5	22	3.8055555555555554	98101
20	Metropolitan Cafe	4.5	22	3.8055555555555554	98102
18	Metropolitan Cafe	4.5	22	3.8055555555555554	98104
17	Mighty Mugs Coffee - Burien	5.0	12	3.790322580645161	98106
8	Mighty Mugs Coffee - Burien	5.0	12	3.790322580645161	98108
2	Morning Glory Chai	5.0	11	3.7704918032786883	98103
3	Morning Glory Chai	5.0	11	3.7704918032786883	98105
3	Morning Glory Chai	5.0	11	3.7704918032786883	98107
5	Morning Glory Chai	5.0	11	3.7704918032786883	98110
12	Dilettante Mocha Café - Plaza Center	5.0	10	3.75	98105
19	Dilettante Mocha Café - Plaza Center	5.0	10	3.75	98106
5	Siam Clay	5.0	9	3.728813559322034	98105
9	Siam Clay	5.0	9	3.728813559322034	98110
2	FLEUR	5.0	8	3.706896551724138	98101
2	FLEUR	5.0	8	3.706896551724138	98102
1	FLEUR	5.0	8	3.706896551724138	98103
2	FLEUR	5.0	8	3.706896551724138	98104
2	FLEUR	5.0	8	3.706896551724138	98105
3	FLEUR	5.0	8	3.706896551724138	98106
4	Dubai Cafeteria & Expresso	5.0	8	3.706896551724138	98106
2	FLEUR	5.0	8	3.706896551724138	98107
3	FLEUR	5.0	8	3.706896551724138	98108
9	Tab Milktea	5.0	8	3.706896551724138	98108
2	FLEUR	5.0	8	3.706896551724138	98109
2	Cup Of Jo	5.0	8	3.706896551724138	98110
4	FLEUR	5.0	8	3.706896551724138	98110
6	Dubai Cafeteria & Expresso	5.0	8	3.706896551724138	98110
7	Bay View Espresso	5.0	8	3.706896551724138	98110
5	The Dailies	5.0	6	3.6607142857142856	98101
9	Coping Cookies	5.0	6	3.6607142857142856	98101
5	The Dailies	5.0	6	3.6607142857142856	98102
12	Coping Cookies	5.0	6	3.6607142857142856	98102
5	The Dailies	5.0	6	3.6607142857142856	98103
14	Coping Cookies	5.0	6	3.6607142857142856	98103
5	The Dailies	5.0	6	3.6607142857142856	98104
10	Coping Cookies	5.0	6	3.6607142857142856	98104
7	The Dailies	5.0	6	3.6607142857142856	98105
17	Coping Cookies	5.0	6	3.6607142857142856	98105
8	The Dailies	5.0	6	3.6607142857142856	98106
6	The Dailies	5.0	6	3.6607142857142856	98107
15	Coping Cookies	5.0	6	3.6607142857142856	98107
5	The Dailies	5.0	6	3.6607142857142856	98109
12	Coping Cookies	5.0	6	3.6607142857142856	98109
12	The Dailies	5.0	6	3.6607142857142856	98110
3	Basecamp Cafe	5.0	5	3.6363636363636362	98101
3	Basecamp Cafe	5.0	5	3.6363636363636362	98102
3	Basecamp Cafe	5.0	5	3.6363636363636362	98103
19	The Burnt Coffee	5.0	5	3.6363636363636362	98103
3	Basecamp Cafe	5.0	5	3.6363636363636362	98104
4	Basecamp Cafe	5.0	5	3.6363636363636362	98105
5	Basecamp Cafe	5.0	5	3.6363636363636362	98106
7	Cafe Vino Olio	5.0	5	3.6363636363636362	98106
10	Rock N Robins Espresso	5.0	5	3.6363636363636362	98106
4	Basecamp Cafe	5.0	5	3.6363636363636362	98107
20	The Burnt Coffee	5.0	5	3.6363636363636362	98107
6	Rock N Robins Espresso	5.0	5	3.6363636363636362	98108
3	Basecamp Cafe	5.0	5	3.6363636363636362	98109
16	The Burnt Coffee	5.0	5	3.6363636363636362	98109
8	Basecamp Cafe	5.0	5	3.6363636363636362	98110
11	Cafe Vino Olio	5.0	5	3.6363636363636362	98110
15	Rock N Robins Espresso	5.0	5	3.6363636363636362	98110
13	Yellow Butterfly Coffee	5.0	4	3.611111111111111	98101
17	Yellow Butterfly Coffee	5.0	4	3.611111111111111	98102
15	Yellow Butterfly Coffee	5.0	4	3.611111111111111	98104
19	Yellow Butterfly Coffee	5.0	4	3.611111111111111	98108
18	Assembly	5.0	4	3.611111111111111	98109
19	Yellow Butterfly Coffee	5.0	4	3.611111111111111	98109
