Rank	Coffee Store Name	Rating	Zipcode
15	Yellow Butterfly Coffee	5.0	98104
16	Peloton	5.0	98104
17	Rey Amargo Chocolate Shop	4.5	98104
18	Metropolitan Cafe	4.5	98104
19	Caffe Umbria	4.5	98104
20	Cafe An'Clair	4.5	98104
21	Cafe Madeline	4.5	98104
22	PIM Bicycles and Coffeehouse	4.5	98104
23	Baked From The Hart	4.5	98104
24	Rapha - Seattle	4.5	98104
25	Mica's Sweet Coffee Trujillo	4.5	98104
26	Hydrate Juice Bar	4.5	98104
27	Coffeemind	4.5	98104
28	Lune Cafe	4.5	98104
29	Overcast Coffee Bar	4.5	98104
30	The Station	4.5	98104
31	Phin	4.5	98104
32	Queen Anne Coffee	4.5	98104
33	Cafe Argento	4.5	98104
34	Monorail Espresso	4.5	98104
35	On Safari Espresso	4.5	98104
36	West Bay Coffee and Smoothies	4.5	98104
37	Arosa Cafe	4.5	98104
38	Monorail Espresso	4.5	98104
39	Ghost Alley Espresso	4.5	98104
40	City Grind	4.5	98104
41	Street Bean Coffee Roasters	4.5	98104
42	Realfine Coffee	4.5	98104
43	Storyville Coffee Company	4.5	98104
44	SELEUSS Chocolates	4.5	98104
45	Ada's Technical Books and Cafe	4.5	98104
46	Squirrel Chops	4.5	98104
47	Caffe Vita at KEXP	4.5	98104
48	Moore Coffee Shop	4.5	98104
49	MarketSpice	4.5	98104
50	Midtown Espresso	4.5	98104
1	FLEUR	5.0	98105
2	Morning Glory Chai	5.0	98105
3	ʔálʔal Cafe - By Chief Seattle Club	5.0	98105
4	The Shop by Porter	5.0	98105
5	Siam Clay	5.0	98105
6	The Dailies	5.0	98105
7	Basecamp Cafe	5.0	98105
8	Overcast Coffee Company	5.0	98105
9	Chocolat Vitale	5.0	98105
10	Seeking Kombucha	5.0	98105
11	Avole Ethiopian Coffee	5.0	98105
12	Dilettante Mocha Café - Plaza Center	5.0	98105
13	Evoke Cafe Bar	5.0	98105
14	Mas Cafe	5.0	98105
15	Two Kick	5.0	98105
16	Kelly Cannoli - Lake City	5.0	98105
17	Coping Cookies	5.0	98105
18	Coffee Tree & Bop	5.0	98105
19	Pike Street Coffee	5.0	98105
20	Konvene Coffee	5.0	98105
21	Bangkok99 Food Truck	5.0	98105
22	Copper Tree Cafe	5.0	98105
23	The Burnt Coffee	5.0	98105
24	The Living Room Cafe	5.0	98105
25	Santo Coffee	5.0	98105
26	Kj’s Koffee	5.0	98105
27	Yellow Butterfly Coffee	5.0	98105
28	Distant World Coffeehouse	5.0	98105
29	Assembly	5.0	98105
30	Peloton	5.0	98105
31	Rey Amargo Chocolate Shop	4.5	98105
32	Metropolitan Cafe	4.5	98105
33	Caffe Umbria	4.5	98105
34	Urban Luxe Cafe	4.5	98105
35	Cafe An'Clair	4.5	98105
36	Cafe Madeline	4.5	98105
37	PIM Bicycles and Coffeehouse	4.5	98105
38	Bobae Coffee & Tea-  Kirkland	4.5	98105
39	The Bridge Coffee House	4.5	98105
40	Aroom Coffee	4.5	98105
41	Anchorhead Coffee	4.5	98105
42	Rapha - Seattle	4.5	98105
43	Hydrate Juice Bar	4.5	98105
44	Coffeemind	4.5	98105
45	Lune Cafe	4.5	98105
46	MmmJavalicious	4.5	98105
47	Red Arrow Coffee	4.5	98105
48	Overcast Coffee Bar	4.5	98105
49	Phin	4.5	98105
50	Matcha Magic	4.5	98105
1	FLEUR	5.0	98106
2	ʔálʔal Cafe - By Chief Seattle Club	5.0	98106
3	The Shop by Porter	5.0	98106
4	Winnies Cafe & Deli	5.0	98106
5	Rock N Robins Espresso	5.0	98106
6	Dubai Cafeteria & Expresso	5.0	98106
7	The Dailies	5.0	98106
8	Basecamp Cafe	5.0	98106
9	Cafe Vino Olio	5.0	98106
10	Animated Cafe	5.0	98106
11	Overcast Coffee Company	5.0	98106
12	Chocolat Vitale	5.0	98106
13	Seeking Kombucha	5.0	98106
14	Avole Ethiopian Coffee	5.0	98106
15	Kappa Espresso	5.0	98106
16	Highland Park Corner Store	5.0	98106
17	The Rose Gifthouse and Coffee	5.0	98106
18	Mighty Mugs Coffee - Burien	5.0	98106
19	Dilettante Mocha Café - Plaza Center	5.0	98106
20	Evoke Cafe Bar	5.0	98106
21	Tab Milktea	5.0	98106
22	Lifeline Espresso	5.0	98106
23	Nevzat's Espresso	5.0	98106
24	Creamy Cone Cafe	5.0	98106
25	Mas Cafe	5.0	98106
26	Two Kick	5.0	98106
27	Macadons	5.0	98106
28	Coping Cookies	5.0	98106
29	Coffee Tree & Bop	5.0	98106
30	Pike Street Coffee	5.0	98106
31	Konvene Coffee	5.0	98106
32	Copper Tree Cafe	5.0	98106
33	The Burnt Coffee	5.0	98106
34	Cafe Red	5.0	98106
35	Resistencia Coffee	5.0	98106
36	Bright Spot	5.0	98106
37	Youngstown Coffee	5.0	98106
38	Santo Coffee	5.0	98106
39	Mighty Mugs Coffee [Kent]	5.0	98106
40	Realfine Coffee	5.0	98106
41	Yellow Butterfly Coffee	5.0	98106
42	Distant World Coffeehouse	5.0	98106
43	Assembly	5.0	98106
44	Peloton	5.0	98106
45	Storyville Coffee Company	4.5	98106
46	Rey Amargo Chocolate Shop	4.5	98106
47	Metropolitan Cafe	4.5	98106
48	Caffe Umbria	4.5	98106
49	Sound & Fog	4.5	98106
50	Mighty Mugs Coffee [Renton]	4.5	98106
1	FLEUR	5.0	98107
2	Morning Glory Chai	5.0	98107
3	ʔálʔal Cafe - By Chief Seattle Club	5.0	98107
4	The Shop by Porter	5.0	98107
5	The Dailies	5.0	98107
6	Basecamp Cafe	5.0	98107
7	Overcast Coffee Company	5.0	98107
8	Chocolat Vitale	5.0	98107
9	Seeking Kombucha	5.0	98107
10	Avole Ethiopian Coffee	5.0	98107
11	Evoke Cafe Bar	5.0	98107
12	Mas Cafe	5.0	98107
13	Two Kick	5.0	98107
14	Kelly Cannoli - Lake City	5.0	98107
15	Coping Cookies	5.0	98107
16	Coffee Tree & Bop	5.0	98107
17	Pike Street Coffee	5.0	98107
18	Konvene Coffee	5.0	98107
19	Bangkok99 Food Truck	5.0	98107
20	Copper Tree Cafe	5.0	98107
